ponto_especifico;ponto;mes;ano;ID;CT;CP;raios_peitoral_d;raios_peitoral_e;raios_peitoral_dif;raios_pelv_d;raios_pelv_e;raios_pelv_dif;doop_d;doop_e;doop_dif;dob_d;dob_e;dob_dif;bpeit_ppelv_d;bpeit_ppelv_e;bpeit_ppelv_dif;diam_olho_d;diam_olho_e;diam_olho_dif
13;montante;fev;2023;3;10,2;8,3;14;14;0;8;8;0;0,9;0,8;0,1;0,14;0,13;0,01;0,18;0,15;0,03;0,5;0,5;0
Mont, pto 13;montante;julho;2022;4;5,9;4,7;13;12;1;8;8;0;1,1;1;0,1;0,8;0,8;0;0,9;0,9;0;0,4;0,4;0
Mont, pto 13;montante;Julho;2022;5;9,9;8,1;13;13;0;8;8;0;1,7;1,7;0;1,3;1,3;0;1,7;1,6;0,1;0,6;0,7;-0,1
11;intermediario;setembro;2022;6;8,2;6,9;12;13;-1;8;8;0;1,4;1,4;0;0,9;1;-0,1;1,2;1,2;0;0,6;0,6;0
11;intermediario;setembro;2022;7;9,5;7,8;13;14;-1;8;8;0;1,7;1,6;0,1;1,2;1,1;0,1;1,5;1,6;-0,1;0,6;0,6;0
11;intermediario;setembro;2022;8;8,1;6,9;13;13;0;8;8;0;1,4;1,4;0;1;1;0;1,2;1,2;0;0,59;0,58;0,01
11;intermediario;setembro;2022;9;8,2;6,8;13;13;0;8;8;0;1,4;1,3;0,1;1,1;1;0,1;1,3;1,2;0,1;0,6;0,59;0,01
11;intermediario;setembro;2022;10;7,1;5,8;13;13;0;8;8;0;1,29;1,24;0,05;0,99;0,91;0,08;1,12;1,19;-0,07;0,56;0,53;0,03
11;intermediario;setembro;2022;11;8,8;7,1;13;13;0;8;8;0;1,47;1,46;0,01;1,09;1,02;0,07;1,35;1,29;0,06;0,62;0,6;0,02
11;intermediario;setembro;2022;12;7,5;6,2;13;13;0;8;8;0;1,27;1,22;0,05;1,04;1,03;0,01;1,27;1,41;-0,14;0,59;0,57;0,02
9;intermediario;agosto;2022;13;7,26;5,87;13;13;0;8;8;0;1,21;1,23;-0,02;0,97;0,93;0,04;1,16;1,16;0;0,51;0,51;0
Acima pto 12;montante;outubro ;2022;14;6,73;5,36;13;14;-1;8;8;0;1,07;1,01;0,06;0,99;1,02;-0,03;0,99;1,02;-0,03;0,45;0,47;-0,02
Acima pto 12;montante;outubro ;2022;15;6,84;5,56;14;13;1;8;8;0;1,07;1,06;0,01;0,91;0,98;-0,07;1,09;1,15;-0,06;0,52;0,49;0,03
7;jusante;outubro ;2022;16;7,66;6,05;12;12;0;8;8;0;1,23;1,23;0;0,93;0,96;-0,03;1,24;1,35;-0,11;0,53;0,54;-0,01
7;jusante;outubro ;2022;17;10,07;8,06;14;14;0;8;8;0;1,56;1,54;0,02;1,15;1,14;0,01;1,65;1,52;0,13;0,6;0,59;0,01
7;jusante;outubro ;2022;18;7,92;6,33;12;12;0;8;8;0;1,27;1,21;0,06;1,02;1,09;-0,07;1,28;1,23;0,05;0,55;0,5;0,05
7;jusante;outubro ;2022;19;9,26;7,71;13;13;0;8;8;0;1,49;1,43;0,06;1,13;1,19;-0,06;1,6;1,62;-0,02;0,62;0,61;0,01
7;jusante;outubro ;2022;20;7,4;6,01;12;12;0;8;8;0;1,23;1,2;0,03;0,94;0,92;0,02;1,07;1,15;-0,08;0,47;0,45;0,02
6;jusante;outubro ;2022;21;7,95;6,47;12;12;0;8;8;0;1,32;1,32;0;0,98;1;-0,02;1,35;1,24;0,11;0,51;0,53;-0,02
6;jusante;outubro ;2022;22;10,03;8,72;13;13;0;8;9;-1;1,63;1,64;-0,01;1,24;1,27;-0,03;1,74;1,76;-0,02;0,6;0,62;-0,02
6;jusante;outubro ;2022;23;7,94;6,52;13;12;1;8;8;0;1,4;1,33;0,07;0,99;0,93;0,06;1,07;1,13;-0,06;0,52;0,49;0,03
6;jusante;outubro ;2022;24;7,42;6,1;12;12;0;8;8;0;1,32;1,25;0,07;0,88;0,93;-0,05;1,25;1,26;-0,01;0,51;0,52;-0,01
trilha (12 - 12,5);montante;março;2023;25;12,8;11,1;13;11;2;8;8;0;2,04;1,87;0,17;1,57;1,48;0,09;2,41;2,43;-0,02;0,72;0,69;0,03
